ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p31,1,66,3,33,324.9981,325.8775,Main,Miss,325.409,325.7553,Right,57,5,1,0.4666824,1.2318,posture_decision_experiment/p31/S001/movement_head_T066.csv,posture_decision_experiment/p31/S001/movement_right_hand_T066.csv,posture_decision_experiment/p31/S001/movement_left_hand_T066.csv
p31,1,67,3,34,328.7203,329.5999,Main,Miss,329.1314,329.5332,Left,57,5,1,0.4666824,0.8211,posture_decision_experiment/p31/S001/movement_head_T067.csv,posture_decision_experiment/p31/S001/movement_right_hand_T067.csv,posture_decision_experiment/p31/S001/movement_left_hand_T067.csv
p31,1,68,3,35,332.5424,333.3667,Main,Skipped,333.0202,333.2889,Right,58,5,1.3,0.6222382,0.9312,posture_decision_experiment/p31/S001/movement_head_T068.csv,posture_decision_experiment/p31/S001/movement_right_hand_T068.csv,posture_decision_experiment/p31/S001/movement_left_hand_T068.csv
p31,1,69,3,36,337.3432,338.1779,Main,Skipped,337.7318,338.1113,Left,59,5,1.5,0.9333649,1.2951,posture_decision_experiment/p31/S001/movement_head_T069.csv,posture_decision_experiment/p31/S001/movement_right_hand_T069.csv,posture_decision_experiment/p31/S001/movement_left_hand_T069.csv
p31,1,70,3,37,341.2985,342.5225,Main,Skipped,341.7538,342.4336,Left,60,5,1.5,0.9333649,1.0987,posture_decision_experiment/p31/S001/movement_head_T070.csv,posture_decision_experiment/p31/S001/movement_right_hand_T070.csv,posture_decision_experiment/p31/S001/movement_left_hand_T070.csv
p31,1,71,3,38,345.3207,346.2782,Main,Skipped,345.7656,346.1782,Left,61,5,1.5,0.9333649,0.7834,posture_decision_experiment/p31/S001/movement_head_T071.csv,posture_decision_experiment/p31/S001/movement_right_hand_T071.csv,posture_decision_experiment/p31/S001/movement_left_hand_T071.csv
p31,1,72,3,39,349.2986,350.4005,Main,NoGo,349.7762,,,61,5,1.3,0.6222382,1.0075,posture_decision_experiment/p31/S001/movement_head_T072.csv,posture_decision_experiment/p31/S001/movement_right_hand_T072.csv,posture_decision_experiment/p31/S001/movement_left_hand_T072.csv
p31,1,73,3,40,353.799,354.4785,Main,Skipped,354.1106,354.3785,Right,62,5,1.5,0.9333649,1.3818,posture_decision_experiment/p31/S001/movement_head_T073.csv,posture_decision_experiment/p31/S001/movement_right_hand_T073.csv,posture_decision_experiment/p31/S001/movement_left_hand_T073.csv
p31,1,74,3,41,357.6992,358.523,Main,Skipped,358.1211,358.4341,Right,63,5,1.5,0.9333649,1.2061,posture_decision_experiment/p31/S001/movement_head_T074.csv,posture_decision_experiment/p31/S001/movement_right_hand_T074.csv,posture_decision_experiment/p31/S001/movement_left_hand_T074.csv
p31,1,75,3,42,362.0324,362.9899,Main,Miss,362.377,362.8343,Left,63,5,1.3,0.6222382,1.4926,posture_decision_experiment/p31/S001/movement_head_T075.csv,posture_decision_experiment/p31/S001/movement_right_hand_T075.csv,posture_decision_experiment/p31/S001/movement_left_hand_T075.csv
p31,1,76,3,43,366.3989,367.2344,Main,Miss,366.7657,367.1233,Right,63,5,1,0.4666824,1.3881,posture_decision_experiment/p31/S001/movement_head_T076.csv,posture_decision_experiment/p31/S001/movement_right_hand_T076.csv,posture_decision_experiment/p31/S001/movement_left_hand_T076.csv
p31,1,77,3,44,371.0555,371.7013,Main,Hit,371.4215,371.5568,Left,68,5,1,0.4666824,1.4863,posture_decision_experiment/p31/S001/movement_head_T077.csv,posture_decision_experiment/p31/S001/movement_right_hand_T077.csv,posture_decision_experiment/p31/S001/movement_left_hand_T077.csv
p31,1,78,3,45,374.6437,375.4125,Main,Skipped,374.9881,375.3347,Left,69,5,1.3,0.6222382,0.9014,posture_decision_experiment/p31/S001/movement_head_T078.csv,posture_decision_experiment/p31/S001/movement_right_hand_T078.csv,posture_decision_experiment/p31/S001/movement_left_hand_T078.csv
p31,1,79,3,46,378.3329,379.1904,Main,Skipped,378.8437,379.1126,Right,70,5,1.3,0.6222382,0.9078,posture_decision_experiment/p31/S001/movement_head_T079.csv,posture_decision_experiment/p31/S001/movement_right_hand_T079.csv,posture_decision_experiment/p31/S001/movement_left_hand_T079.csv
p31,1,80,3,47,382.6887,383.1683,Main,Skipped,383.0106,383.0905,Left,71,5,1.5,0.9333649,1.4772,posture_decision_experiment/p31/S001/movement_head_T080.csv,posture_decision_experiment/p31/S001/movement_right_hand_T080.csv,posture_decision_experiment/p31/S001/movement_left_hand_T080.csv
p31,1,81,3,48,386.5332,387.124,Main,Skipped,389.933,387.0462,Left,72,5,1,0.4666824,1.3503,posture_decision_experiment/p31/S001/movement_head_T081.csv,posture_decision_experiment/p31/S001/movement_right_hand_T081.csv,posture_decision_experiment/p31/S001/movement_left_hand_T081.csv
